date,index
2010-02-11,1.0
2010-02-12,1.0018977976143584
2010-02-16,1.014822028283488
2010-02-17,1.0197776675134473
2010-02-18,1.0268338972350188
2010-02-19,1.0267944385531396
2010-02-22,1.0235901736058264
2010-02-23,1.0101816460484743
2010-02-24,1.020706871351361
2010-02-25,1.0209321433034837
2010-02-26,1.0241815038872302
2010-03-01,1.0397918808881255
2010-03-02,1.0425005750381078
2010-03-03,1.0427032991720138
2010-03-04,1.0472929488160403
2010-03-05,1.0635341147802186
2010-03-08,1.0648462190677275
2010-03-09,1.0707536099538169
2010-03-10,1.0797470272282779
2010-03-11,1.083384993959522
2010-03-12,1.0837341414251402
2010-03-15,1.0812900404224637
2010-03-16,1.088132272101021
2010-03-17,1.0903735802264434
2010-03-18,1.0947210470546844
2010-03-19,1.0882393054942021
2010-03-22,1.097902832927129
2010-03-23,1.1055672350504184
2010-03-24,1.0991699103215524
2010-03-25,1.0976550819001376
2010-03-26,1.0996148172712439
2010-03-29,1.1044522179422613
2010-03-30,1.108247813170978
2010-03-31,1.1028303561276651
2010-04-01,1.1035174458931418
2010-04-05,1.1138060565914492
2010-04-06,1.116126213337282
2010-04-07,1.1135076417168184
2010-04-08,1.1154391923151536
2010-04-09,1.1231543270294309
2010-04-12,1.1238413480515592
2010-04-13,1.1284366346501398
2010-04-14,1.1425208405771636
2010-04-15,1.148050967968212
2010-04-16,1.1335217863481486
2010-04-19,1.1339103924956462
2010-04-20,1.1395812375205043
2010-04-21,1.1457364481769332
2010-04-22,1.151722687683433
2010-04-23,1.1574499022538332
2010-04-26,1.1539358797794328
2010-04-27,1.1298106766943963
2010-04-28,1.1305652724278268
2010-04-29,1.150444336379901
2010-04-30,1.1266458016856145
2010-05-03,1.1440864015895662
2010-05-04,1.108816595634165
2010-05-05,1.10278532923458
2010-05-06,1.0664568069732152
2010-05-07,1.0415037964888922
2010-05-10,1.0939720882758082
2010-05-11,1.0927725855926866
2010-05-12,1.1125389791970255
2010-05-13,1.095610860954067
2010-05-14,1.0739747857647923
2010-05-17,1.078677037013206
2010-05-18,1.0626893965172695
2010-05-19,1.0550080835303175
2010-05-20,1.0137294902501996
2010-05-21,1.0264847497694005
2010-05-24,1.0222667954092093
2010-05-25,1.022492067361332
2010-05-26,1.0116739953950207
2010-05-27,1.0489767483873842
2010-05-28,1.0431651169853677
2010-06-01,1.0333945561592597
2010-06-02,1.0584826473228384
2010-06-03,1.0675324341428412
2010-06-04,1.0317051196333615
2010-06-07,1.012625747051151
2010-06-08,1.0112403623544377
2010-06-09,1.0017908329645253
2010-06-10,1.0306069446455188
2010-06-11,1.0402142400196002
2010-06-14,1.039273762272578
2010-06-15,1.0685573287214796
2010-06-16,1.0729668020498166
2010-06-17,1.0759739798177779
2010-06-18,1.077567656859603
2010-06-21,1.0676337618381202
2010-06-22,1.0590176768020485
2010-06-23,1.05557122903895
2010-06-24,1.0387725545206932
2010-06-25,1.0353542915303657
2010-06-28,1.0339351538496757
2010-06-29,0.9934224989554449
2010-06-30,0.9793888881327121
2010-07-01,0.976725220875815
2010-07-02,0.9733068891421394
2010-07-06,0.9768772811620815
2010-07-07,1.0078727632117497
2010-07-08,1.0127102326261155
2010-07-09,1.0219908596094471
2010-07-12,1.0255048820838473
2010-07-13,1.0390203742910327
2010-07-14,1.0437395364031088
2010-07-15,1.045333213444934
2010-07-16,1.0156216509100038
2010-07-19,1.02451937744374
2010-07-20,1.0365650681225957
2010-07-21,1.0234043603355831
2010-07-22,1.0491963833849527
2010-07-23,1.056111826729366
2010-07-26,1.0645702832679653
2010-07-27,1.0636749011573767
2010-07-28,1.054557539626072
2010-07-29,1.04761961720679
2010-07-30,1.0497032280913918
2010-08-02,1.0694076839389828
2010-08-03,1.0653643376832749
2010-08-04,1.0751573775842516
2010-08-05,1.0727640091725625
2010-08-06,1.0715983282167658
2010-08-09,1.0785194085157335
2010-08-10,1.069548470316141
2010-08-11,1.0392174614703844
2010-08-12,1.0317783312992177
2010-08-13,1.024249078598532
2010-08-16,1.0257751809290554
2010-08-17,1.0392118245158304
2010-08-18,1.0422697348747791
2010-08-19,1.0266142622374503
2010-08-20,1.0281629123861902
2010-08-23,1.0183416877124427
2010-08-24,0.9997353381093462
2010-08-25,1.0085260312499011
2010-08-26,0.9962156786803917
2010-08-27,1.0089540273359299
2010-08-30,0.9979332312357125
2010-08-31,0.9953202965698031
2010-09-01,1.024953010484323
2010-09-02,1.0365143355316082
2010-09-03,1.0532567092476715
2010-09-07,1.0454796367766463
2010-09-08,1.0587135562295154
2010-09-09,1.062171277901722
2010-09-10,1.0656627525579057
2010-09-13,1.0821798543218462
2010-09-14,1.0860767772458417
2010-09-15,1.0922770147953558
2010-09-16,1.0970693885732883
2010-09-17,1.1014168554015291
2010-09-20,1.1203385994862671
2010-09-21,1.1201583544272298
2010-09-22,1.1165823941960815
2010-09-23,1.1162388836850174
2010-09-24,1.1397163869431084
2010-09-27,1.1324799809058477
2010-09-28,1.1332909461848197
2010-09-29,1.1314043537362215
2010-09-30,1.125187274066393
2010-10-01,1.124376308787421
2010-10-04,1.1123981928198672
2010-10-05,1.1401612938927996
2010-10-06,1.1299627369806629
2010-10-07,1.1328404022805743
2010-10-08,1.141512856862188
2010-10-11,1.141484672089417
2010-10-12,1.1496897406464708
2010-10-13,1.1585310976346652
2010-10-14,1.1569880844404794
2010-10-15,1.181327216825182
2010-10-18,1.1849425669948612
2010-10-19,1.1655591425834657
2010-10-20,1.1745807446306977
2010-10-21,1.1770304825879285
2010-10-22,1.1849763887221862
2010-10-25,1.1902362172680265
2010-10-26,1.1933335175655067
2010-10-27,1.1971797078985145
2010-10-28,1.199347873101429
2010-10-29,1.1963744483174448
2010-11-01,1.198610119488313
2010-11-02,1.2117314373367947
2010-11-03,1.215470800506666
2010-11-04,1.2320497712840062
2010-11-05,1.2314358931843858
2010-11-08,1.232691696669701
2010-11-09,1.2259001288387832
2010-11-10,1.232015949556681
2010-11-11,1.2237771967589985
2010-11-12,1.2039769126839863
2010-11-15,1.2003333777415364
2010-11-16,1.179018265245109
2010-11-17,1.182605568128714
2010-11-18,1.2021861484628094
2010-11-19,1.2024677212171258
2010-11-22,1.2112472091919206
2010-11-23,1.19195947552125
2010-11-24,1.216687145310102
2010-11-26,1.2129646930038933
2010-11-29,1.207699364990195
2010-11-30,1.192364923789062
2010-12-01,1.2179880444318507
2010-12-02,1.2306419075124244
2010-12-03,1.2339475001550162
2010-12-06,1.2331816992558258
2010-12-07,1.2329226743197261
2010-12-08,1.2392580612918442
2010-12-09,1.2398042959368145
2010-12-10,1.2475588205896226
2010-12-13,1.2431155255339605
2010-12-14,1.2460101704408828
2010-12-15,1.2402997979907968
2010-12-16,1.2490680120564834
2010-12-17,1.24922007234275
2010-12-20,1.2518950135087554
2010-12-21,1.2583880977216941
2010-12-22,1.2591426247117763
2010-12-23,1.255966544537234
2010-12-27,1.2557357043739055
2010-12-28,1.2543615248429525
2010-12-29,1.256737982390979
2010-12-30,1.253404204975616
2010-12-31,1.2489779582703129
2011-01-03,1.2694594889262028
2011-01-04,1.2678995648683544
