date,equity,daily_return
1990-01-02,1.0,
1990-01-03,0.9974363211492995,-0.0025636788507005237
1990-01-04,0.9892790174819347,-0.008178270125520859
1990-01-05,0.9796457017956263,-0.009737713542968485
1990-01-08,0.9841516597805336,0.00459957919138354
1990-01-09,0.9725502226978674,-0.011788261460894511
1990-01-10,0.9661539071880292,-0.006576848537543589
1990-01-11,0.9695462770507041,0.003511210623313943
1990-01-12,0.9457737667215044,-0.02451921160639603
1990-01-15,0.9376423843446153,-0.008597597716287098
1990-01-16,0.9481043910428981,0.011157779205550167
1990-01-17,0.9388336573099502,-0.00977817824759819
1990-01-18,0.9410089119451391,0.0023169755560550342
1990-01-19,0.9437279604820443,0.002889503491826373
1990-01-22,0.9194116562511286,-0.025766222099104952
1990-01-23,0.9228298683759545,0.0037178255263410342
1990-01-24,0.9023202795137008,-0.022224669535618302
1990-01-25,0.9077066130348844,0.005969425317678301
1990-01-26,0.9070074494469638,-0.0007702528304636136
1990-01-29,0.9055055161375444,-0.0016559216909797225
1990-01-30,0.8995753096863199,-0.006549056130016662
1990-01-31,0.9165630802901699,0.018884211717386412
1990-02-01,0.9158897589644002,-0.0007346153693605917
1990-02-02,0.9219753351018292,0.006644441733151263
1990-02-05,0.9252123352782994,0.003510940101355997
1990-02-06,0.9194374985132796,-0.006241633995598184
1990-02-07,0.9310389355959459,0.012617972511916875
1990-02-08,0.9288896022512325,-0.0023085321811354698
1990-02-09,0.9311683839916748,0.002453232047080256
1990-02-12,0.9216128321767934,-0.010261894603765698
1990-02-13,0.9245131716903787,0.0031470259661370292
1990-02-14,0.9273358263608619,0.003053125425268144
1990-02-15,0.9354412874472753,0.00874058874466388
1990-02-16,0.9296405293917799,-0.006201092610873649
1990-02-20,0.9164853954470675,-0.014150774981076975
1990-02-21,0.9156049408824666,-0.000960685864690114
1990-02-22,0.9101926860708073,-0.0059111245145127
1990-02-23,0.9061010735918872,-0.0044953255959274685
1990-02-26,0.9189973107451415,0.01423266954329061
1990-02-27,0.9236067958353021,0.005015776473190403
1990-02-28,0.9283716506116674,0.005158964613351413
1990-03-01,0.9308576446192657,0.0026778004325749283
1990-03-02,0.9387041298858966,0.008429307437057387
1990-03-05,0.9340169599526336,-0.0049932345922807375
1990-03-06,0.9458255302741311,0.012642779336786703
1990-03-07,0.9431064817372259,-0.0028747886897461106
1990-03-08,0.9524290580511252,0.009884966856263055
1990-03-09,0.9462917183610695,-0.006443881187974232
1990-03-12,0.9484151304153072,0.00224392966041731
1990-03-13,0.9409829906546635,-0.007836378313987091
1990-03-14,0.9434431424001107,0.002614448688106119
1990-03-15,0.9468355122627856,0.0035957332352267724
1990-03-16,0.9576082583334775,0.011377632050309172
1990-03-19,0.9621918221331626,0.004786470625954831
1990-03-20,0.9567795673215033,-0.005624922897037754
1990-03-21,0.9516521305917776,-0.005359057514240151
1990-03-22,0.9403096693288938,-0.011918705268731511
1990-03-23,0.9446084150466453,0.004571627686036139
1990-03-26,0.9463434819136962,0.0018368107243309506
1990-03-27,0.9572198341179661,0.01149302807293151
1990-03-28,0.9586440825842831,0.0014879011231829775
1990-03-29,0.9552517127216082,-0.0035387167399290043
1990-03-30,0.9529728519528413,-0.002385612858284425
1990-04-02,0.9496581669332688,-0.003478257552437136
1990-04-03,0.9636679131804309,0.01475240958797186
1990-04-04,0.9569349370077078,-0.006986821996077475
1990-04-05,0.955950876309529,-0.001028346505203337
1990-04-06,0.9542158884708027,-0.0018149340951746362
1990-04-09,0.9578672341532601,0.0038265404365767086
1990-04-10,0.9598352765212933,0.0020546087159698523
1990-04-11,0.9594209310153061,-0.00043168397340931364
1990-04-12,0.9662834346120828,0.007152755766454355
1990-04-16,0.9675004708112439,0.0012595022904948738
1990-04-17,0.9673451011250394,-0.00016058874480373575
1990-04-18,0.9562875369724139,-0.011430836978204906
1990-04-19,0.9489071607643967,-0.007717737524200352
1990-04-20,0.9405945664391521,-0.008760176621017801
1990-04-23,0.929278026466744,-0.012031262327242276
1990-04-24,0.9274135112039641,-0.002006412730826135
1990-04-25,0.9322042872708051,0.005165738916852236
1990-04-26,0.9348456509646079,0.0028334601437371987
1990-04-27,0.9241765110274939,-0.011412728856475152
1990-04-30,0.9292003416236416,0.005436007663257136
1990-05-01,0.9334990873413931,0.0046262851240885805
1990-05-02,0.939817718008129,0.006768759340441743
